category_name,keywords,description,source_nsqf_level,source_url
Agriculture & Farming,Agriculture Extension Service Provider; Agriculture Warehouse Worker; Aquaculture Worker; Artificial Insemination Technician; Bamboo Grower; Beekeeper; Coconut Grower cum Primary Processor; Coffee Plantation Worker; Cotton Cultivator; Dairy Farmer/Entrepreneur; Farm Workshop Foreman/Supervisor; Fish Retailer; Fish Seed Grower; Fisheries Extension Associate; Floriculturist; Florist; Forest Nursery Raiser; Gardener; Greenhouse Operator; Hydroponics Technician; Inland Capture Fisherman cum Primary Processor; Interior Landscaper; Irrigation Service Technician; Livestock Service Provider; Medicinal and Aromatic Plants Grower; Micro-Irrigation Technician; Mushroom Grower(Entrepreneur); Non-Timber Forest Produce Harvester; Nursery Worker; Oilseed Crop Grower; Organic Grower; Ornamental Fish Farmer; Precision Farming Technician; Pulses Cultivator; Sericulturist; Small Poultry Farmer,"Crop cultivation, floriculture, landscaping, irrigation, and farm equipment operation.",3-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Automotive & Vehicle Servicing,Automotive Assembly Operator; Automotive Assembly Technician; Automotive CNC Machining Technician; Automotive Machining Assistant; Automotive Machining Operator; Automotive Sales Executive; Automotive Showroom Host; Automotive Telecaller; Automotive Washer; Automotive Welding Machine Operator (Manual and Robotics); Four Wheeler Service Assistant; Four Wheeler Service Technician; Two Wheeler Service Assistant; Two Wheeler Service Technician,"Vehicle repair, auto body work, engine servicing, and automobile manufacturing.",2-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Beauty & Wellness,"Assistant Beauty & Wellness Consultant; Assistant Beauty Therapist; Assistant Hair Dresser & Stylist; Assistant Nail Technician; Assistant Spa Therapist; Beauty Therapist; Bridal, Fashion & Portfolio Makeup Artist; Gym Assistant (B&W); Hair Dresser & Stylist; Master Wellness Neurotherapist; Nail Technician; Pedicurist & Manicurist; Personal Trainer (B&W); Professional Makeup Artist; Retail Sales Associate; Senior Beauty Therapist; Senior Wellness Neurotherapist; Spa Therapist; Wellness Neurotherapist; Yoga Instructor (B&W); Yoga Trainer (B&W)","Hair styling, skin care, makeup artistry, spa therapy, and personal grooming.",3-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Construction & Real Estate,Assistant  Scaffolder -system; Assistant  Shuttering Carpenter; Assistant Bar Bender and Steel Fixer; Assistant Construction Painter & Decorator; Assistant Electrician; Assistant False Ceiling and Drywall Installer; Assistant Mason; Assistant Surveyor; Assistant construction Fitter; Bar Bender and Steel Fixer; Brick Mason; Construction Electrician - LV; Construction Painter & Decorator; Fabricator; False Ceiling & Dry Wall Installer; Helper Bar Bender and Steel Fixer; Helper Electrician; Helper Mason; Mason Concrete; Mason Tiling; Shuttering Carpenter,"Masonry, bar bending, scaffolding, painting, tiling, and building construction.",2-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Electronics & Hardware,Assembly Line Operator; Assembly Operator-RAC; Assembly Operator-TV; Assistant Installation Computing And Peripherals; CCTV Installation Technician; Customer Care Executive; DAS Set Top Box Installation & Service Technician; DTH Set Top Box Installation and Service Technician; Digital Cable Technician - Access; EMS Technician; Electrical Assembly Operator – Control Panel; Electrical Technician; Electrician; Field Technician - Air Conditioner; Field Technician - Networking & Storage; Field Technician - Other Home Appliances; Field Technician - UPS And Inverter; Field Technician Computing and Peripherals; HVAC Technician; IT Coordinator In School; In - Store Demonstrator; Incoming Materials Inspector - Electronics Items; Junior Field Technician  - Home Appliances; LED Light Repair Technician; LED Luminary Mechanical Assembly and Testing Technician; Maintenance Technician; Mechanical Fitter Electronics; Mobile Phone Hardware Repair Technician; Multi Skill Technician (Electrical); PCB Assembly Operator; Pick And Place Assembly Operator; Purchase Executive; Remote Helpdesk Technician; Service Technician – Home Appliances; Smartphone Assembly Technician; Solar Panel Installation Technician; TV Repair Technician; Through Hole Assembly Operator; Welding Operator Electronics; Winding Operator (Electronics SSC); Wireman Control Panel Electronics; Wiring Harness Assembly Operator,"Electronic assembly, PCB manufacturing, mobile repair, and consumer electronics servicing.",3-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Food Processing & Packaging,"Baking Techncian/Operative; Butter and Ghee Processing Operator; Cold Storage Technician; Cottage Cheese Maker; Craft Baker(v3); Fish and Seafood Processing Technician; Food Sales Promoter; Fruit Pulp Processing Technician (v3); Fruits and Vegetables Selection In-Charge; Grain Mill Operator; Hygiene Coordinator; Ice Cream Processing Technician; Industrial Production Worker; Jam, Jelly and Ketchup Processing Technician; Packing Machine Worker-Food Processing; Pickle Making Technician; Plant Biscuit Production Specialist; Processed Food Entrepreneur; Spice Processing Technician v3; Squash and Juice Processing Technician; Traditional Snack and Savoury Maker","Food manufacturing, baking, dairy processing, quality testing, and packaging.",2-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Gems & Jewellery,Assorter(Advanced); Bottom Polisher - Diamond Processing; Filer and Assembler; Gemstone Final Shaper and Calibrator; Gemstone Processor; Jewellery Appraiser and Valuer; Jewellery Designer; Jewellery Designer - CAD; Jewellery Frame and Component maker; Jewellery Retail Merchandiser; Jewellery Retail Sales Associate; Laser Sawing Machine Operator - Diamond Processing; Metal Setter (Basic); Payal Maker; Planner-Diamond processing; Polisher and Cleaner; Sr. Jewellery Designer; Stone Fixer - Imitation Jewellery; Tarakasi Jeweller; Wax setter,"Jewellery design, gem cutting, polishing, setting, and precious metal work.",2-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Handicrafts & Artisan Work,Agarbatti Maker; Applique Artisan; Bamboo Work Artisan; Carpet Weaver; Carving Artisan; Casting Operator (Metal Handicrafts); Ceramics and Teracotta Toy Maker-; Crochet Lace Tailor; Engraving and Stamping Artisan; Engraving/ Carving/ Etching Assistant; Hand Block Printer; Hand Crochet Lace Maker; Inlay Artisan - Stonecraft; Jute Products Stitching Operator; Merchandiser; Paper Mache Products Artisan; Puppet Maker-Artisan; Traditional Hand Embroiderer; Upcycling Scraps and E-waste Artisan; Wooden Toy Maker-Artisan,"Hand weaving, pottery, carpet making, traditional craft production, and restoration.",3-4,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
Healthcare & Life Sciences,"Assistant Yoga Instructor; Assistant- Manufacturing and Packaging (Pharma, Biologics and Medical device); Associate- Store (Pharma/ Bio Pharma / Medical Devices) : Retail Pharmacy operations; Ayurveda Ahar and Poshan Sahyaka; Ayurveda Dietician; Ayurveda Masseur; Emergency Medical Technician-Basic; Garbhini Rakshaka; Geriatric Caregiver (Institutional & Home Care): Palliative Care, Dementia Care; Healthcare Quality Assurance Manager; Medical Equipment Assistant (Basic Clinical Equipment); Panchakarma Assistant; Patient Relations Associate; Prakriti Evaluator; Production Machine Operator- Active Pharmaceutical Ingredient (API)/ Bulk Drug : Non Sterile Manufacturing, Non Sterile Packaging; Yoga Wellness Trainer","Nursing assistance, pharmacy operations, medical device handling, and patient care.",3-6,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
IT & Digital Services,Associate Customer Care (Voice & Non-Voice); Customer Care Executive-Domestic- Non- Voice; Customer Care Executive-Domestic- Voice; Domestic Biometric Data Operator; Domestic Data Entry Operator; Domestic IT Helpdesk Attendant; Engineer-Technical Support(Level 1); Junior Software Developer; Software Developer -Product Development; Software Developer-IT Services; Software Programmer; Sr. Associate - Desktop Publishing (DTP); Sr. Associate-F & A Complex; Technical Support Engineer; Web Developer,"Software development, data entry, BPO services, digital marketing, and IT support.",3-5,https://rplrfp.nsdcindia.org/Downloads/NSDCDocument/Job_Role_List.xlsx
