name,scheme,sector,nsqf_level,duration,cost,district_availability,min_age,max_age,min_education,wage_outcome,source_url,data_confidence
Domestic Data Entry Operator,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
CRM Domestic Voice Associate,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
Accounts Executive (Computerised Accounting),PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
Junior Software Developer,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
Web Development Associate,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
DTP (Desktop Publishing) Operator,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
Domestic IT Helpdesk Attendant,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
Office Operations Executive,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
Digital Marketing Associate,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
Computer Hardware & Networking Assistant,PMKVY 4.0,IT,4,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true,scraped
E-Commerce Operations Assistant,PMKVY 4.0,IT,,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true | https://www.msde.gov.in/static/uploads/2024/02/PMKVY-4.0-Guidelines_final-copy.pdf,partial
Course 11,PMKVY 4.0,IT,,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true | https://www.msde.gov.in/static/uploads/2024/02/PMKVY-4.0-Guidelines_final-copy.pdf,partial
Database Administration Assistant,PMKVY 4.0,IT,,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true | https://www.msde.gov.in/static/uploads/2024/02/PMKVY-4.0-Guidelines_final-copy.pdf,partial
Graphic Design Associate,PMKVY 4.0,IT,,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true | https://www.msde.gov.in/static/uploads/2024/02/PMKVY-4.0-Guidelines_final-copy.pdf,partial
Customer Care Executive,PMKVY 4.0,IT,,300 Hours,Free,,,,,,https://www.skillindiadigital.gov.in/sector/list?forCourse=true | https://www.msde.gov.in/static/uploads/2024/02/PMKVY-4.0-Guidelines_final-copy.pdf,partial
